Gewerk,Aktivität,Maschinen,Was brauchen wir?,Was haben wir bereits?,Abstimmung,Inhaber,Beginn,Ende,Abteilung,Hinweise
"Feuerwehr, KFZ",Wir lassen eine Feuerwehr ein Schrottauto aufschneiden,Milwaukee Säbelsäge (Zertifiziert für Feuerwehr),,,,,,,,
KFZ,Räder wechseln auf Zeit mit Gewinn???,Akkuschrauber / Bohrhammer / Schlagschrauber / etc.,,,,,,,,
Holz,,,,,,,,,,
Sanitär,Vorführung Kernbohren Beton / Rohrverstopfung / Rohrschneider,,,,,,,,,
GaLa,Vorführung Kehrmaschine / Kettensäge / etc.,,,,,,,,,
